chiave,italiano,inglese
services,"Servizi","Services"
properties,"Immobili","Properties"
contacts,"Contatti","Contacts"
reservedArea,"Area riservata","Reserved area"
adminDashboard,"Dashboard admin","Admin dashboard"
manageProperties,"Gestisci immobili","Manage properties"
statistics,"Statistiche visite","Visit statistics"
logout,"Logout","Logout"
loggedAsAdmin,"Sei loggato come admin","You are logged in as admin"
heroTitle1,"Immobili nel Monferrato,","Properties in Monferrato,"
heroTitle2,"scelti con attenzione","carefully selected"
discoverProperties,"Scopri gli immobili","Explore properties"
contactUs,"Contattaci","Contact us"
yearsInTerritory,"Anni nel territorio","Years in the area"
propertiesHandled,"Immobili trattati","Properties handled"
satisfiedClients,"Clienti soddisfatti","Satisfied clients"
municipalities,"Comuni seguiti","Municipalities"
ourServices,"I nostri servizi","Our services"
serviceSubtitle1,"Un supporto attento,","Dedicated support,"
serviceCopy,"Lavoriamo con attenzione reale su vendita, acquisto e valorizzazione degli immobili nel Monferrato, con un approccio diretto e senza passaggi inutili.","We work with genuine care on sales, purchases and property enhancement in Monferrato, with a direct approach and no unnecessary steps."
service1Title,"Selezione accurata","Careful selection"
service1Body,"Scegliamo immobili che hanno qualità, identità e potenziale, evitando proposte generiche o poco coerenti.","We choose properties with quality, identity and potential, avoiding generic or inconsistent proposals."
service2Title,"Conoscenza del territorio","Local expertise"
service2Body,"Ti aiutiamo a capire davvero il Monferrato: paesaggio, borghi, valore delle zone e opportunità concrete.","We help you truly understand Monferrato: landscape, villages, area value and real opportunities."
service3Title,"Consulenza chiara","Clear advice"
service3Body,"Parliamo in modo semplice e trasparente, così ogni scelta è più consapevole e ogni passaggio più lineare.","We speak plainly and transparently, so every choice is more informed and every step more straightforward."
theTerritory,"Il territorio","The territory"
livingInMonferrato,"Vivere nel Monferrato","Living in Monferrato"
meanChoosing,"significa scegliere","means choosing"
qualityAndCharacter,"qualità e carattere","quality and character"
territoryCopy,"Colline, vigne, borghi e case con identità. Il nostro lavoro è aiutarti a trovare la proprietà giusta nel contesto giusto, senza perdere tempo in proposte poco adatte.","Hills, vineyards, villages and homes with identity. Our work is to help you find the right property in the right context, without wasting time on unsuitable proposals."
exploreProperties,"Esplora gli immobili","Explore properties"
inEvidence,"In evidenza","Featured"
selectedProposals1,"Proposte","Selected"
selectedProposals2,"selezionate","proposals"
viewAll,"Vedi tutti →","View all →"
discover,"Scopri","Discover"
featured,"In evidenza","Featured"
featuredClientViewsThisMonthOne,"Visitato dai clienti 1 volta questo mese","Viewed once by visitors this month"
featuredClientViewsThisMonthMany,"Visitato dai clienti {{n}} volte questo mese","Viewed {{n}} times by visitors this month"
removeFromFeatured,"Rimuovi dall’evidenza","Remove from featured"
noPropertiesTitle,"Nessun immobile al momento","No properties at the moment"
noPropertiesCopy,"Stiamo aggiornando il catalogo. Torna presto.","We are updating our catalogue. Please check back soon."
noPropertiesAdmin,"Aggiungi il primo immobile dal pannello admin.","Add the first property from the admin panel."
addProperty,"+ Aggiungi immobile","+ Add property"
adminArea,"Area admin","Admin area"
manage,"Gestisci","Manage"
theDashboard,"la dashboard","the dashboard"
propertiesCardBody,"Aggiungi, modifica, metti in evidenza o nascondi i tuoi immobili.","Add, edit, feature or hide your properties."
goToProperties,"Vai agli immobili","Go to properties"
statsCardBody,"Quante persone hanno visitato il sito e quali immobili hanno guardato.","How many people visited the site and which properties they viewed."
viewStats,"Vedi statistiche","View statistics"
dashboardCardBody,"Panoramica generale: immobili pubblicati, in evidenza, visite totali.","General overview: published properties, featured, total visits."
goToDashboard,"Vai alla dashboard","Go to dashboard"
testimonials,"Recensioni","Reviews"
whatClients1,"Cosa dicono","What our"
whatClients2,"i nostri clienti","clients say"
lookingForHouse,"Cerchi casa nel","Looking for a home"
inMonferrato,"Monferrato?","in Monferrato?"
startHere,"Partiamo da qui.","Let's start here."
contactCopy,"Guarda gli immobili disponibili oppure contattaci direttamente. Ti rispondiamo con indicazioni chiare e senza impegno.","Browse available properties or contact us directly. We respond with clear information and no commitment."
whatsapp,"WhatsApp","WhatsApp"
writeOnWhatsapp,"Scrivici su WhatsApp","Write to us on WhatsApp"
mail,"Mail","Email"
phone,"Telefono","Phone"
hours,"Orari","Hours"
hoursText,"Lun-Ven 9.00–12.00\nPomeriggio su appuntamento","Mon-Fri 9.00–12.00\nAfternoon by appointment"
filterAll,"Tutti","All"
filterSale,"Vendita","For sale"
filterRent,"Affitto","For rent"
forSale,"Vendita","For sale"
forRent,"Affitto","For rent"
noPropertiesFilter,"Nessun immobile per questo filtro.","No properties for this filter."
priceOnRequest,"Prezzo su richiesta","Price on request"
backToList,"← Immobili","← Properties"
contactForInfo,"Contattaci per informazioni","Contact us for information"
whatsappLabel,"Scrivici su WhatsApp","Write on WhatsApp"
approximatePosition,"Posizione approssimativa","Approximate location"
exactPosition,"Posizione","Location"
mapNote,"Con privacy attiva la mappa è centrata sul comune: «Apri in Google Maps» porta al paese, non al civico.","With privacy on, the map is centred on the municipality: «Open in Google Maps» opens the town, not the exact address."
openInGoogleMaps,"Apri in Google Maps","Open in Google Maps"
sold,"Venduto","Sold"
available,"Disponibile","Available"
catalogComplete,"Catalogo completo","Full catalogue"
allProperties,"Tutti gli immobili","All properties"
propertiesAvailableCount,"immobili disponibili","properties available"
soldCount,"venduti","sold"
contactForVisits,"Contattaci per informazioni o sopralluoghi.","Contact us for information or viewings."
availableSection,"Disponibili","Available"
forRentSection,"In affitto","For rent"
forSaleSection,"In vendita","For sale"
propertySingular,"immobile","property"
propertyPlural,"immobili","properties"
forSearchLabel,"per","for"
noResultsFor,"Nessun risultato per","No results for"
tryDifferentSearch,"Prova con parole chiave diverse.","Try different keywords."
contactCustomSearch,"Contattaci per ricerche personalizzate.","Contact us for personalised searches."
soldSection,"Venduti","Sold"
discoverCTA,"Scopri →","Discover →"
viewCTA,"Visualizza →","View →"
backHome,"← Home","← Home"
listView,"Lista","List"
mapView,"Mappa","Map"
searchPlaceholder,"Cerca per città, titolo…","Search by city, title…"
filtersLabel,"Filtri","Filters"
priceMin,"Prezzo min (€)","Min price (€)"
priceMax,"Prezzo max (€)","Max price (€)"
sqmMin,"Superficie min (m²)","Min size (m²)"
resetFilters,"Reset filtri","Reset filters"
backToAllProperties,"← Tutti gli immobili","← All properties"
brandName,"Agenzia Immobiliare Monferrato","Agenzia Immobiliare Monferrato"
noImageAvailable,"Nessuna immagine disponibile","No image available"
price,"Prezzo","Price"
municipality,"Comune","Municipality"
surface,"Superficie","Size"
rooms,"Locali","Rooms"
contract,"Contratto","Contract"
rentBadge,"🔵 Affitto","🔵 Rental"
saleBadge,"🟠 Vendita","🟠 Sale"
description,"Descrizione","Description"
approximateZone,"Zona approssimativa","Approximate area"
requestedPrice,"Prezzo richiesto","Asking price"
contactOnWhatsapp,"Contatta su WhatsApp","Contact on WhatsApp"
whatsappHint,"Il tuo messaggio includerà già il nome dell\","Your message will already include the property name — the agent will know exactly which one you mean."
agencyName,"Agenzia Immobiliare Monferrato","Monferrato Real Estate"
agencyContactSub,"Rispondiamo rapidamente a ogni richiesta. Per informazioni più dettagliate scrivici su WhatsApp o torna alla nostra pagina contatti.","We respond quickly to every enquiry. For more details write to us on WhatsApp or visit our contact page."
contactPageLink,"pagina contatti","contact page"
adminMode,"Modalità admin","Admin mode"
editThisProperty,"✏️ Modifica questo immobile","✏️ Edit this property"
adminBarLabel,"Area Admin","Admin Area"
addPropertyBtn,"+ Aggiungi immobile","+ Add property"
contractSale,"Vendita","Sale"
contractRent,"Affitto","Rental"
footerRights,"Tutti i diritti riservati.","All rights reserved."
footerTagline,"Immobili nel cuore del Monferrato","Properties in the heart of Monferrato"
footerPrivacy,"Privacy Policy","Privacy Policy"
footerCookies,"Cookie Policy","Cookie Policy"
footerLogoCaption,"L'Agenzia Immobiliare Monferrato è qui.","The Monferrato real estate agency is here."
footerSede,"Sede","Office"
footerOpenMaps,"Google Maps","Google Maps"
footerWaAria,"Scrivici su WhatsApp","Message us on WhatsApp"
serviceSubtitle2,"dall'inizio alla fine","from start to finish"
